SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532667,SUZLONENERGY,A ,Q,13.52,13.79,13.52,13.76,13.76,13.45,2354,3556148,48707374.00,
532668,AURIONPRO SO,B ,Q,179.50,188.00,179.00,184.60,187.00,176.75,219,32910,6014547.00,
532669,SOUTHBIOTEC ,X ,Q,3.31,3.68,3.31,3.50,3.50,3.47,20,9396,33725.00,
532670,RENUKA SUGAR,A ,Q,16.00,17.50,16.00,17.15,17.15,16.00,1955,1558284,26398874.00,
532673,KM SUGARMILL,B ,Q,18.95,20.30,18.95,20.00,20.00,19.25,268,58033,1148562.00,
532674,BANNARI AMMA,B ,Q,319.90,320.00,310.50,320.00,320.00,316.85,9,215,67861.00,
532676,PBA INFRASTR,B ,Q,18.50,18.50,17.80,18.15,18.05,18.50,24,4486,81436.00,
532678,BOMBAY RAYON,B ,Q,208.05,208.05,188.10,188.10,188.10,208.95,6315,552564,108582647.00,
532679,SORILINFRA  ,B ,Q,323.00,327.80,315.40,317.05,318.00,315.15,564,37790,12072730.00,
532682,ABG SHIPYARD,Z ,Q,11.68,12.44,11.26,11.49,11.50,11.85,146,51958,602313.00,
532683,AIAENGINEER ,A ,Q,1693.70,1696.00,1650.10,1657.40,1650.10,1674.80,154,678,1131763.00,
532684,EVEREST KANT,B ,Q,68.00,71.90,67.00,69.70,69.70,66.85,4114,744162,52022383.00,
532686,KERNEX MICRO,Z ,Q,41.65,44.75,41.65,43.20,43.20,42.90,34,4883,211760.00,
532687,REPRO INDIA ,B ,Q,805.00,814.45,800.25,801.70,800.25,799.00,77,1264,1019580.00,
532689,PVR LTD     ,A ,Q,1346.15,1351.50,1331.15,1345.30,1341.05,1335.05,385,6688,8986306.00,
532690,RAMSARUP IND,T ,Q,2.00,2.00,2.00,2.00,2.00,2.03,2,1000,2000.00,
532692,RADHA MADHAV,B ,Q,28.00,28.00,25.65,26.10,26.20,26.35,331,108055,2856217.00,
532693,PUNJ LLOYD  ,B ,Q,21.05,21.80,21.05,21.50,21.50,21.00,663,320210,6855853.00,
532694,BARTRONICSIN,T ,Q,14.74,14.84,14.42,14.80,14.80,14.57,48,14106,207422.00,
532695,CELEBRITYFAS,B ,Q,15.00,15.10,14.75,14.85,14.85,15.10,31,8630,128353.00,
532696,EDUCOMP SOLN,Z ,Q,4.75,4.99,4.75,4.88,4.90,4.99,38,16021,77821.00,
532698,NITINSPINNER,B ,Q,110.00,115.25,110.00,114.00,114.00,109.40,306,159644,18041402.00,
532699,ROYALORCH   ,B ,Q,159.65,169.45,159.65,167.10,169.00,161.30,131,6161,1025118.00,
532700,ENT NETWORK ,B ,Q,740.00,766.95,740.00,759.40,763.00,737.65,150,2074,1558859.00,
532701,SREE SAKTHI ,X ,Q,7.37,7.37,6.06,6.40,6.40,6.70,31,17491,113212.00,
532702,GUJ PETRONET,A ,Q,203.90,206.40,202.05,203.00,203.00,204.05,491,26774,5458738.00,
532705,JAGRAN PRAK ,B ,Q,166.80,166.85,163.00,163.80,163.80,164.35,52,2646,435030.00,
532706,INOX LEISURE,B ,Q,289.00,295.00,287.55,294.20,294.00,286.00,474,21197,6178331.00,
532707,DYNEMIC PRO ,T ,Q,193.75,193.75,185.10,187.80,187.50,189.85,45,4080,768586.00,
532708,GVK POWERINF,T ,Q,16.00,16.25,15.40,15.95,15.95,15.95,507,496551,7958598.00,
532710,SADBHAV ENGG,A ,Q,361.00,376.80,356.00,367.85,366.60,361.05,460,19163,7039736.00,
532711,SUNIL HITECH,B ,Q,13.25,13.50,13.25,13.40,13.40,13.23,411,212887,2847846.00,
532712,REL COM LTD ,A ,Q,12.00,13.05,11.87,12.77,12.77,11.83,5774,7278559,90340953.00,
532713,SAKUMA EXPO ,T ,Q,179.95,179.95,171.00,174.40,171.00,177.20,59,3580,627557.00,
532714,KEC INTERN  ,A ,Q,349.00,378.90,349.00,368.85,368.85,345.40,7471,368568,133881297.00,
532715,GITANJALI GE,B ,Q,69.20,71.75,69.10,69.60,69.60,69.20,3152,684862,48037632.00,
532716,GILLA ARBUT ,T ,Q,81.05,85.90,81.05,85.50,85.80,82.60,13,647,53954.00,
532717,INDOTECHTR  ,B ,Q,201.65,204.80,198.50,202.05,202.05,195.90,104,4642,934605.00,
